rank,reader_order,publish_date,ticker,company,asset_type,score,in_news,earnings_type,earnings_date,rvol,days_since_article,pat_start_date,pat_direction,pat_days,pat_SR,pat_AvgP,pat_median,pat_mode,pat_years,pat_pyears,pat_resource_id,article_angle,news_reason
1,3,2026-05-08,ZC,Corn Futures,futures,9.0,1,,,,999,2026-05-15,Short,24,6.49,5.63,5.57,pe,6,6,7,Corn Futures face a near-perfect PE-cycle short setup: trade-policy headwinds meet a 6/6 profitable-year pattern averaging -5.6% that kicks off in just 7 days on May 15 — one of the highest Sharpe-ratio signals (SR 6.49) in today's entire watchlist.,ZC sees fluctuations due to commodity market dynamics and trade policies.
2,1,2026-05-08,VIXY,Trust VIX Short-Term Futures ETF,etf,8.5,0,,,,999,2026-05-08,Short,28,2.48,14.0,14.95,cons,10,10,11,"VIX fear gauge is elevated on Fed and geopolitical jitters, but the 10-year consecutive pattern says volatility fades fast — a VIXY short starting TODAY has averaged -14.0% over 28 days with a 10/10 win rate (SR 2.48), making this one of the cleanest mean-reversion trades of the spring.",
3,5,2026-05-08,NG,Natural Gas Futures,futures,8.0,1,,,,999,2026-05-17,Short,113,1.77,9.45,9.44,pe,8,8,7,"Natural Gas prices are feeling supply-chain pressure, and the PE-cycle seasonal pattern adds conviction: a short trade starting May 17 has averaged -9.4% over 113 days with an 8/8 profitable-year record (SR 1.77) — global uncertainty may accelerate the seasonal decline.",NG prices are influenced by energy costs and global supply uncertainties.
4,2,2026-05-08,VIX,CBOE Volatility Index,index,7.5,1,,,,999,2026-05-14,Short,24,1.59,10.2,9.34,cons,10,10,5,"With the Fed and global macro risks keeping VIX elevated right now, the 10-year seasonal pattern warns that volatility historically collapses from May 14 — a short setup averaging -10.2% over 24 days with a 10/10 win rate (SR 1.59) suggests the fear spike may be nearly over.",VIX is notable due to market uncertainty from Federal Reserve decisions and global economic risks.
5,6,2026-05-08,WSM,"Williams-Sonoma, Inc.",stock,7.5,0,,,,999,2026-05-10,Short,12,1.34,7.45,8.37,cons,10,10,2,"Williams-Sonoma looks vulnerable heading into the consumer slowdown season: a 10/10 consecutive short pattern starting May 10 — just 2 days away — has averaged -7.5% over 12 days with an 8.4% median return (SR 1.34), making this a high-conviction near-term bearish setup.",
6,8,2026-05-08,PH,Parker Hannifin,stock,7.0,0,,,,999,2026-05-17,Short,57,1.4,9.14,9.72,pe,10,10,2,"Parker Hannifin, a bellwether industrial stock, faces a seasonally weak stretch ahead: a PE-mode short pattern starting May 17 has averaged -9.1% over 57 days with a 10/10 profitable-year record (SR 1.40) — a strong danger-zone signal for one of the market's most cyclically sensitive names.",
7,14,2026-05-08,AVGO,Broadcom Inc.,stock,6.5,1,,,,999,2026-05-22,Long,17,1.58,7.48,6.76,consecutive,14,14,2,"Broadcom is near buy points as an AI megatrend leader, but its 14-year consecutive seasonal pattern flashes caution: a Long setup starting May 22 has averaged +7.5% over 17 days (SR 1.58, 14/14 wins) — bulls may want to wait two more weeks before adding exposure.","Near buy points in a strong market, leading AI megatrend stocks."
8,4,2026-05-08,CL,Crude Oil Futures,futures,6.5,1,,,,999,2026-05-12,Short,189,1.04,13.79,18.87,pe,8,7,7,"Crude Oil is spiking on Strait of Hormuz fears, but the PE-cycle seasonal pattern has a 7/8 record for a short trade starting May 12 averaging -13.8% over 189 days (median 18.9%) — history says geopolitical premium fades fast.",CL prices are rising due to global economic risks and potential Strait of Hormuz disruptions.
9,10,2026-05-08,SB,Sugar,futures,6.5,0,,,,999,2026-05-19,Short,19,1.58,4.84,4.08,pe,10,10,7,"Sugar futures may be sweetening now, but a 10/10 PE-cycle short pattern starting May 19 — 11 days out — has averaged -4.8% over 19 days (SR 1.58), giving traders a precise heads-up to position before the seasonal downturn begins.",
10,11,2026-05-08,ITW,Illinois Tool Works,stock,6.0,0,,,,999,2026-05-19,Short,52,1.49,5.13,4.27,pe,10,10,2,Illinois Tool Works is a Dow industrial giant quietly entering a seasonally bearish window: a PE-mode short starting May 19 has a 10/10 record averaging -5.1% over 52 days (SR 1.49) — a reliable danger-zone signal for patient swing traders.,
11,7,2026-05-08,HPQ,HP Inc.,stock,6.0,1,,,,999,2026-05-09,Short,13,1.18,5.34,3.85,pe,7,7,2,"HP Inc. is set to report Q2 2026 earnings soon, but seasonal history suggests the post-earnings window turns bearish: a PE-cycle short starting tomorrow May 9 has averaged -5.3% over 13 days with a 7/7 win rate (SR 1.18) — earnings catalyst meets reliable seasonal headwind.",Scheduled to announce Q2 fiscal 2026 earnings soon.
12,9,2026-05-08,HG,Copper Futures,futures,5.5,1,,,,999,2026-05-12,Short,93,1.06,6.65,8.07,pe,7,6,7,"Copper is riding AI-sector enthusiasm, but the PE-cycle seasonal pattern tells a different story: a short starting May 12 has averaged -6.7% over 93 days with a 6/7 record (SR 1.06) — industrial demand hopes may not be enough to override the seasonal tape.",HG is notable for its role in industrial products amid AI and tech sector growth.
13,12,2026-05-08,SI,Silver Futures,futures,5.5,1,,,,999,2026-05-12,Short,105,1.13,5.88,4.49,pe,10,10,7,"Silver is benefiting from industrial demand and inflation narratives, but a PE-cycle short pattern starting May 12 shows a perfect 10/10 profitable-year record averaging -5.9% over 105 days (SR 1.13) — a heads-up for precious-metals bulls to manage risk.",SI benefits from industrial demand and market volatility.
14,15,2026-05-08,GIS,General Mills,stock,5.5,0,,,,999,2026-05-20,Long,16,2.12,3.72,3.26,pe,10,10,2,General Mills offers a rare bullish seasonal oasis inside the PE+2 danger zone: a 10/10 PE-mode Long pattern starting May 20 has averaged +3.7% over 16 days (SR 2.12) — one of the few confirmed buy signals still standing in this historically treacherous stretch.,
15,16,2026-05-08,CNP,CenterPoint Energy,stock,5.5,0,,,,999,2026-05-21,Long,12,1.76,3.98,4.0,pe,10,10,2,CenterPoint Energy stands out as a defensive Long idea with a PE-mode pattern starting May 21 averaging +4.0% over 12 days with a 10/10 win rate (SR 1.76) — utilities with clean seasonal tailwinds offer shelter as the danger-zone summer approaches.,
16,13,2026-05-08,BBY,Best Buy,stock,5.0,0,,,,999,2026-05-16,Short,8,1.39,5.41,3.88,cons,10,10,2,"Best Buy is heading into its historically weakest seasonal stretch: a 10/10 consecutive short pattern starting May 16 — just 8 days away — has averaged -5.4% over 8 days (SR 1.39), suggesting consumer electronics stocks face near-term selling pressure.",
17,17,2026-05-08,INTC,Intel Corporation,stock,5.0,1,,,,999,2026-05-14,Short,7,1.08,4.46,3.58,pe,7,7,2,"Intel's CEO recovery story is grabbing headlines, but a PE-cycle short pattern starting May 14 — just 6 days out — has a 7/7 win rate averaging -4.5% over 7 days (SR 1.08), warning that any near-term bounce in INTC could be a seasonal selling opportunity.",Stock surges as CEO executes recovery strategy.
18,18,2026-05-08,LBR,Lumber (CME),futures,4.5,0,,,,999,2026-05-20,Short,14,1.99,3.91,3.57,cons,10,10,7,Lumber futures are quietly setting up for a seasonal decline: a 10/10 consecutive short pattern starting May 20 has averaged -3.9% over 14 days (SR 1.99) — housing-market watchers should note this reliable early-summer pressure point.,
19,19,2026-05-08,ZW,Wheat Futures,futures,4.0,1,,,,999,2026-06-01,Short,100,1.12,9.05,8.71,consecutive,13,12,7,"Wheat Futures face structural global supply pressures, and a 13-year consecutive short pattern starting June 1 — 24 days away — averages -9.1% over 100 days (SR 1.12, 12/13 wins), giving grain traders a forward-looking heads-up on the summer seasonal downdraft.",ZW is affected by agricultural market trends and global economic conditions.
20,20,2026-05-08,GC,Gold Futures,futures,3.5,1,,,,999,2026-05-14,Short,74,1.24,4.54,5.43,pe,6,6,7,"Gold is soaring on inflation fears, but the PE-cycle seasonal data suggest the rally faces a headwind: a short pattern starting May 14 has averaged -4.5% over 74 days with a 6/6 record (SR 1.24) — a contrarian heads-up for gold bulls to watch their stop-losses.",GC is notable amid climbing commodity prices and inflation concerns.
